CITY_NAME,STATE_CODE,STATE_NAME,FIPS,COUNTY_NAME
Arkadelphia,AL,Alabama,1043,Cullman County
Good Hope,AL,Alabama,1043,Cullman County
Baileyton,AL,Alabama,1043,Cullman County
Jones Chapel,AL,Alabama,1043,Cullman County
South Vinemont,AL,Alabama,1043,Cullman County
Dodge City,AL,Alabama,1043,Cullman County
Cullman,AL,Alabama,1043,Cullman County
Joppa,AL,Alabama,1043,Cullman County
Berlin,AL,Alabama,1043,Cullman County
Fairview,AL,Alabama,1043,Cullman County
Garden City,AL,Alabama,1043,Cullman County
Holly Pond,AL,Alabama,1043,Cullman County
Hanceville,AL,Alabama,1043,Cullman County
Bremen,AL,Alabama,1043,Cullman County
East Point,AL,Alabama,1043,Cullman County
West Point,AL,Alabama,1043,Cullman County
Clopton,AL,Alabama,1045,Dale County
Pinckard,AL,Alabama,1045,Dale County
Ariton,AL,Alabama,1045,Dale County
Napier Field,AL,Alabama,1045,Dale County
Daleville,AL,Alabama,1045,Dale County
Clayhatchee,AL,Alabama,1045,Dale County
Level Plains,AL,Alabama,1045,Dale County
Grimes,AL,Alabama,1045,Dale County
Echo,AL,Alabama,1045,Dale County
Newton,AL,Alabama,1045,Dale County
Midland City,AL,Alabama,1045,Dale County
Ozark,AL,Alabama,1045,Dale County
Valley Grande,AL,Alabama,1047,Dallas County
Selmont,AL,Alabama,1047,Dallas County
Selma,AL,Alabama,1047,Dallas County
Safford,AL,Alabama,1047,Dallas County
Orrville,AL,Alabama,1047,Dallas County
Marion Junction,AL,Alabama,1047,Dallas County
West Selmont,AL,Alabama,1047,Dallas County
Burnsville,AL,Alabama,1047,Dallas County
Tyler,AL,Alabama,1047,Dallas County
Minter,AL,Alabama,1047,Dallas County
Sardis,AL,Alabama,1047,Dallas County
Hazen,AL,Alabama,1047,Dallas County
Plantersville,AL,Alabama,1047,Dallas County
Lakeview,AL,Alabama,1049,DeKalb County
Crossville,AL,Alabama,1049,DeKalb County
Collbran,AL,Alabama,1049,DeKalb County
Portersville,AL,Alabama,1049,DeKalb County
Collinsville,AL,Alabama,1049,DeKalb County
Shiloh,AL,Alabama,1049,DeKalb County
Powell,AL,Alabama,1049,DeKalb County
Fort Payne,AL,Alabama,1049,DeKalb County
Geraldine,AL,Alabama,1049,DeKalb County
Ider,AL,Alabama,1049,DeKalb County
Sylvania,AL,Alabama,1049,DeKalb County
Valley Head,AL,Alabama,1049,DeKalb County
Mentone,AL,Alabama,1049,DeKalb County
Rainsville,AL,Alabama,1049,DeKalb County
Pine Ridge,AL,Alabama,1049,DeKalb County
Henagar,AL,Alabama,1049,DeKalb County
Hammondville,AL,Alabama,1049,DeKalb County
Fyffe,AL,Alabama,1049,DeKalb County
Holtville,AL,Alabama,1051,Elmore County
Elmore,AL,Alabama,1051,Elmore County
Coosada,AL,Alabama,1051,Elmore County
Wetumpka,AL,Alabama,1051,Elmore County
Wallsboro,AL,Alabama,1051,Elmore County
Deatsville,AL,Alabama,1051,Elmore County
Red Hill,AL,Alabama,1051,Elmore County
Kent,AL,Alabama,1051,Elmore County
Blue Ridge,AL,Alabama,1051,Elmore County
Millbrook,AL,Alabama,1051,Elmore County
Tallassee,AL,Alabama,1051,Elmore County
Eclectic,AL,Alabama,1051,Elmore County
Flomaton,AL,Alabama,1053,Escambia County
Pollard,AL,Alabama,1053,Escambia County
Dixie,AL,Alabama,1053,Escambia County
East Brewton,AL,Alabama,1053,Escambia County
Atmore,AL,Alabama,1053,Escambia County
Brewton,AL,Alabama,1053,Escambia County
Bradley,AL,Alabama,1053,Escambia County
Riverview,AL,Alabama,1053,Escambia County
Huxford,AL,Alabama,1053,Escambia County
Hokes Bluff,AL,Alabama,1055,Etowah County
Walnut Grove,AL,Alabama,1055,Etowah County
Altoona,AL,Alabama,1055,Etowah County
Gadsden,AL,Alabama,1055,Etowah County
Glencoe,AL,Alabama,1055,Etowah County
Rainbow City,AL,Alabama,1055,Etowah County
Ivalee,AL,Alabama,1055,Etowah County
Gallant,AL,Alabama,1055,Etowah County
Egypt,AL,Alabama,1055,Etowah County
Ballplay,AL,Alabama,1055,Etowah County
Whitesboro,AL,Alabama,1055,Etowah County
Carlisle,AL,Alabama,1055,Etowah County
Sardis City,AL,Alabama,1055,Etowah County
Attalla,AL,Alabama,1055,Etowah County
Wilsonia,AL,Alabama,1055,Etowah County
Rockledge,AL,Alabama,1055,Etowah County
Ridgeville,AL,Alabama,1055,Etowah County
Reece City,AL,Alabama,1055,Etowah County
Southside,AL,Alabama,1055,Etowah County
Keener,AL,Alabama,1055,Etowah County
Berry,AL,Alabama,1057,Fayette County
Bazemore,AL,Alabama,1057,Fayette County
Fayette,AL,Alabama,1057,Fayette County
Newtonville,AL,Alabama,1057,Fayette County
Belk,AL,Alabama,1057,Fayette County
Russellville,AL,Alabama,1059,Franklin County
Isbell,AL,Alabama,1059,Franklin County
Red Bay,AL,Alabama,1059,Franklin County
Vina,AL,Alabama,1059,Franklin County
Belgreen,AL,Alabama,1059,Franklin County
Hodges,AL,Alabama,1059,Franklin County
Spruce Pine,AL,Alabama,1059,Franklin County
Pleasant Site,AL,Alabama,1059,Franklin County
Phil Campbell,AL,Alabama,1059,Franklin County
Hacoda,AL,Alabama,1061,Geneva County
Hartford,AL,Alabama,1061,Geneva County
Chancellor,AL,Alabama,1061,Geneva County
Black,AL,Alabama,1061,Geneva County
Slocomb,AL,Alabama,1061,Geneva County
Samson,AL,Alabama,1061,Geneva County
Coffee Springs,AL,Alabama,1061,Geneva County
Eunola,AL,Alabama,1061,Geneva County
Geneva,AL,Alabama,1061,Geneva County
Malvern,AL,Alabama,1061,Geneva County
Union,AL,Alabama,1063,Greene County
Boligee,AL,Alabama,1063,Greene County
Forkland,AL,Alabama,1063,Greene County
Knoxville,AL,Alabama,1063,Greene County
Clinton,AL,Alabama,1063,Greene County
Eutaw,AL,Alabama,1063,Greene County
Newbern,AL,Alabama,1065,Hale County
Akron,AL,Alabama,1065,Hale County
Moundville,AL,Alabama,1065,Hale County
Cypress,AL,Alabama,1065,Hale County
Gallion,AL,Alabama,1065,Hale County
Sawyerville,AL,Alabama,1065,Hale County
Greensboro,AL,Alabama,1065,Hale County
Headland,AL,Alabama,1067,Henry County
Shorterville,AL,Alabama,1067,Henry County
Newville,AL,Alabama,1067,Henry County
Haleburg,AL,Alabama,1067,Henry County
Abbeville,AL,Alabama,1067,Henry County
Columbia,AL,Alabama,1069,Houston County
Kinsey,AL,Alabama,1069,Houston County
Webb,AL,Alabama,1069,Houston County
Taylor,AL,Alabama,1069,Houston County
Cowarts,AL,Alabama,1069,Houston County
Avon,AL,Alabama,1069,Houston County
Madrid,AL,Alabama,1069,Houston County
Rehobeth,AL,Alabama,1069,Houston County
Dothan,AL,Alabama,1069,Houston County
Cottonwood,AL,Alabama,1069,Houston County
Crosby,AL,Alabama,1069,Houston County
Ashford,AL,Alabama,1069,Houston County
Gordon,AL,Alabama,1069,Houston County
Pisgah,AL,Alabama,1071,Jackson County
Scottsboro,AL,Alabama,1071,Jackson County
Long Island,AL,Alabama,1071,Jackson County
Hytop,AL,Alabama,1071,Jackson County
Langston,AL,Alabama,1071,Jackson County
Hollywood,AL,Alabama,1071,Jackson County
Stevenson,AL,Alabama,1071,Jackson County
Dutton,AL,Alabama,1071,Jackson County
Flat Rock,AL,Alabama,1071,Jackson County
Woodville,AL,Alabama,1071,Jackson County
Bridgeport,AL,Alabama,1071,Jackson County
Fackler,AL,Alabama,1071,Jackson County
Lim Rock,AL,Alabama,1071,Jackson County
Paint Rock,AL,Alabama,1071,Jackson County
Skyline,AL,Alabama,1071,Jackson County
Section,AL,Alabama,1071,Jackson County
Rosalie,AL,Alabama,1071,Jackson County
Pinson,AL,Alabama,1073,Jefferson County
Minor,AL,Alabama,1073,Jefferson County
Hoover,AL,Alabama,1073,Jefferson County
Trussville,AL,Alabama,1073,Jefferson County
Bessemer,AL,Alabama,1073,Jefferson County
Argo,AL,Alabama,1073,Jefferson County
Center Point,AL,Alabama,1073,Jefferson County
Rock Creek,AL,Alabama,1073,Jefferson County
Clay,AL,Alabama,1073,Jefferson County
Trafford,AL,Alabama,1073,Jefferson County
Brighton,AL,Alabama,1073,Jefferson County
West Jefferson,AL,Alabama,1073,Jefferson County
Grayson Valley,AL,Alabama,1073,Jefferson County
North Johns,AL,Alabama,1073,Jefferson County
Mulga,AL,Alabama,1073,Jefferson County
Homewood,AL,Alabama,1073,Jefferson County
Concord,AL,Alabama,1073,Jefferson County
Vestavia Hills,AL,Alabama,1073,Jefferson County
Pleasant Grove,AL,Alabama,1073,Jefferson County
Village Springs,AL,Alabama,1073,Jefferson County
Maytown,AL,Alabama,1073,Jefferson County
Leeds,AL,Alabama,1073,Jefferson County
Tarrant,AL,Alabama,1073,Jefferson County
Bluff Park,AL,Alabama,1073,Jefferson County
Birmingham,AL,Alabama,1073,Jefferson County
Midfield,AL,Alabama,1073,Jefferson County
Sylvan Springs,AL,Alabama,1073,Jefferson County
Dolomite,AL,Alabama,1073,Jefferson County
Forestdale,AL,Alabama,1073,Jefferson County
Kimberly,AL,Alabama,1073,Jefferson County
Graysville,AL,Alabama,1073,Jefferson County
Lipscomb,AL,Alabama,1073,Jefferson County
Edgewater,AL,Alabama,1073,Jefferson County
Morris,AL,Alabama,1073,Jefferson County
Mount Olive,AL,Alabama,1073,Jefferson County
Mountain Brook,AL,Alabama,1073,Jefferson County
Brookside,AL,Alabama,1073,Jefferson County
Warrior,AL,Alabama,1073,Jefferson County
Adamsville,AL,Alabama,1073,Jefferson County
Gardendale,AL,Alabama,1073,Jefferson County
Short Creek,AL,Alabama,1073,Jefferson County
Fairfield,AL,Alabama,1073,Jefferson County
Hueytown,AL,Alabama,1073,Jefferson County
Irondale,AL,Alabama,1073,Jefferson County
Valley Creek,AL,Alabama,1073,Jefferson County
Fultondale,AL,Alabama,1073,Jefferson County
McDonald Chapel,AL,Alabama,1073,Jefferson County
Cardiff,AL,Alabama,1073,Jefferson County
Vernon,AL,Alabama,1075,Lamar County
Kennedy,AL,Alabama,1075,Lamar County
Sulligent,AL,Alabama,1075,Lamar County
Beaverton,AL,Alabama,1075,Lamar County
Detroit,AL,Alabama,1075,Lamar County
Millport,AL,Alabama,1075,Lamar County
Waterloo,AL,Alabama,1077,Lauderdale County
Petersville,AL,Alabama,1077,Lauderdale County
Underwood,AL,Alabama,1077,Lauderdale County
Saint Florian,AL,Alabama,1077,Lauderdale County
Lexington,AL,Alabama,1077,Lauderdale County
Anderson,AL,Alabama,1077,Lauderdale County
Cloverdale,AL,Alabama,1077,Lauderdale County
